Назва отримувача,Біплан ІД,ОКПО,Загальний формат:,ТОКЕН ШО
"ХІМІКІВ-10, ОСББ",3857347,40980659,"https://next.privat24.ua/payments/form/{""token"":""c68dae795ea218edc38fd4169fa77a0ee7q9emgv""}",c68dae795ea218edc38fd4169fa77a0ee7q9emgv
"ХІМІКІВ 14, ОСББ",3857514,41122127,"https://next.privat24.ua/payments/form/{""token"":""22eb71fc-73dd-48f0-afc0-7c4f709fb3b8""}",22eb71fc-73dd-48f0-afc0-7c4f709fb3b8
УПРАВДОМ-ГАРАНТ ОСББ,3870858,40899280,"https://next.privat24.ua/payments/form/{""token"":""ddd6f2753dc6acb5ee2bc136b741ac51e7q9emgv""}",ddd6f2753dc6acb5ee2bc136b741ac51e7q9emgv
"Приморська 11, ОСББ",3867317,40431141,"https://next.privat24.ua/payments/form/{""token"":""a2b085e77208f46314eaf24da47e2112e7q9emgv""}",a2b085e77208f46314eaf24da47e2112e7q9emgv
"Хіміків 20, ОСББ",3871800,40980617,"https://next.privat24.ua/payments/form/{""token"":""4f112b478c3c011531ffbf53e42b4108e7q9emgv""}",4f112b478c3c011531ffbf53e42b4108e7q9emgv
"Рідний дім 28, ОСББ",3878563,40624850,"https://next.privat24.ua/payments/form/{""token"":""b2d58cb6fa75083b5f4839ca560e2276e7q9emgv""}",b2d58cb6fa75083b5f4839ca560e2276e7q9emgv
"Хіміків 2, ОСББ",3878120,41121212,"https://next.privat24.ua/payments/form/{""token"":""1c0d2f57fbd84bcd5849c92a68a6fb44io7ukq9e""}",1c0d2f57fbd84bcd5849c92a68a6fb44io7ukq9e
"Хіміків 12, ОСББ",3878138,40687046,"https://next.privat24.ua/payments/form/{""token"":""289d422a58f1625d30752a7f97eebb37e7q9emgv""}",289d422a58f1625d30752a7f97eebb37e7q9emgv
"Григорівський десант 14, ОСББ",3878614,41115345,"https://next.privat24.ua/payments/form/{""token"":""adebb3ec9b69b3d39c9411ddf867e61be7q9emgv""}",adebb3ec9b69b3d39c9411ddf867e61be7q9emgv
"Миру 21, ОСББ",3878156,40836215,"https://next.privat24.ua/payments/form/{""token"":""ce07d531b46e7d52b93c32c99210dd60e7q9emgv""}",ce07d531b46e7d52b93c32c99210dd60e7q9emgv
"Перший Власник, ОСББ",3879392,40715853,"https://next.privat24.ua/payments/form/{""token"":""56b88b1a7b7a29851ae6b3366a58404fe7q9emgv""}",56b88b1a7b7a29851ae6b3366a58404fe7q9emgv
"Приморская 15, ОСББ",3884248,40704616,"https://next.privat24.ua/payments/form/{""token"":""a7ab4ebb24218b6e01b08927654e26c5e7q9emgv""}",a7ab4ebb24218b6e01b08927654e26c5e7q9emgv
"Десанта 2830, ОСББ",3884279,41161281,"https://next.privat24.ua/payments/form/{""token"":""da79200f442387c4dea1c15f193c466ce7q9emgv""}",da79200f442387c4dea1c15f193c466ce7q9emgv
"Новобилярская 30, ОСББ",3884261,40952600,"https://next.privat24.ua/payments/form/{""token"":""3985b0ff1b811f3d5e7ad34f1020f63ae7q9emgv""}",3985b0ff1b811f3d5e7ad34f1020f63ae7q9emgv
"Десанта 12, ОСББ",3883932,40893975,"https://next.privat24.ua/payments/form/{""token"":""c47be94159544cacd9ff55d079d9622fe7q9emgv""}",c47be94159544cacd9ff55d079d9622fe7q9emgv
"Сонячне 3, ОСББ",3883957,40953714,"https://next.privat24.ua/payments/form/{""token"":""f5089d1cdb94f11bd2d9352dd6b32b1de7q9emgv""}",f5089d1cdb94f11bd2d9352dd6b32b1de7q9emgv
"Химиков 22, ОСББ",3884004,40538416,"https://next.privat24.ua/payments/form/{""token"":""5c820ba62af379e56e9778762109f29be7q9emgv""}",5c820ba62af379e56e9778762109f29be7q9emgv
"Свитанок 21, ОСББ",3884310,40555887,"https://next.privat24.ua/payments/form/{""token"":""047f7a7016ee01aa32f20adaa5c17461e7q9emgv""}",047f7a7016ee01aa32f20adaa5c17461e7q9emgv
"Миру 20, ОСББ",3884350,40863296,"https://next.privat24.ua/payments/form/{""token"":""ec67ca827041c63109efeba63a732c12e7q9emgv""}",ec67ca827041c63109efeba63a732c12e7q9emgv
"Шевченко 5, ОСББ",3884415,41081201,"https://next.privat24.ua/payments/form/{""token"":""c72d8123d334fb44c76ac29db462a21ce7q9emgv""}",c72d8123d334fb44c76ac29db462a21ce7q9emgv
"ПРИМОРСЬКА 19, ОСББ",3947904,40646104,"https://next.privat24.ua/payments/form/{""token"":""0ca435db7a5de22c1fd8df0f041feccce7q9emgv""}",0ca435db7a5de22c1fd8df0f041feccce7q9emgv
"Десанту 21, ОСББ",3949880,43760474,"https://next.privat24.ua/payments/form/{""token"":""4023038c-0512-45fa-9a70-de3da98ecd01""}",4023038c-0512-45fa-9a70-de3da98ecd01
"Надія (Десанту 19), ОСББ",3959661,25934330,"https://next.privat24.ua/payments/form/{""token"":""f06549d983b2c4ad5e94dca8652cef21e7q9emgv""}",f06549d983b2c4ad5e94dca8652cef21e7q9emgv
"Кондомінімум 16, ОСББ",3959606,40573843,"https://next.privat24.ua/payments/form/{""token"":""337824a8bf408c01178cb0f4e0b25fede7q9emgv""}",337824a8bf408c01178cb0f4e0b25fede7q9emgv
"Химиков 18, ОСББ",4016004,40702603,"https://next.privat24.ua/payments/form/{""token"":""4d4bfe2c24dabce09a78088d8fd58d04e7q9emgv""}",4d4bfe2c24dabce09a78088d8fd58d04e7q9emgv
"Миру 17, ОСББ",4102580,41231882,"https://next.privat24.ua/payments/form/{""token"":""f232c9ecb44e9f11135128bb39da3037e7q9emgv""}",f232c9ecb44e9f11135128bb39da3037e7q9emgv
"Лотос 22, ОСББ",4123465,40580613,"https://next.privat24.ua/payments/form/{""token"":""adcbf8849221b8d896dd6e0473b7069be7q9emgv""}",adcbf8849221b8d896dd6e0473b7069be7q9emgv
"Строителей 9, ОСББ",4123450,41072396,"https://next.privat24.ua/payments/form/{""token"":""74f81625282c93c8a60c79eb4ac31f0ae7q9emgv""}",74f81625282c93c8a60c79eb4ac31f0ae7q9emgv
Птічка-Будівельників 13 ОСББ,4128510,41121926,"https://next.privat24.ua/payments/form/{""token"":""709b4d3355882283786610822b9d2e00e7q9emgv""}",709b4d3355882283786610822b9d2e00e7q9emgv
"Шевченко 9, ОСББ",4317789,41026931,"https://next.privat24.ua/payments/form/{""token"":""f0f5441ed76399d1c677ddca3bc29508e7q9emgv""}",f0f5441ed76399d1c677ddca3bc29508e7q9emgv
"Портовик, ОСББ",4393786,26541710,"https://next.privat24.ua/payments/form/{""token"":""561a7734fb5236e6f9d409dff1e83741e7q9emgv""}",561a7734fb5236e6f9d409dff1e83741e7q9emgv
"ХІМІКІВ 8, ОСББ",4479712,40618983,"https://next.privat24.ua/payments/form/{""token"":""b5ac6af4b8e862933ee7d38b939ec564e7q9emgv""}",b5ac6af4b8e862933ee7d38b939ec564e7q9emgv
"Миру-15, ОСББ",5068521,45748805,"https://next.privat24.ua/payments/form/{""token"":""d4a54dbb-ea1a-483d-890e-50e3478d862d""}",d4a54dbb-ea1a-483d-890e-50e3478d862d
"Приморське, ОСББ.",5187896,35776165,"https://next.privat24.ua/payments/form/{""token"":""3ced0fa54bc3efc8827c9783bf912d98e7q9emgv""}",3ced0fa54bc3efc8827c9783bf912d98e7q9emgv
